PHASE;DOY;MAX;SC
0;1;0;0
0;2;0;0
0;3;0;0
0;4;0;0
0;5;0;0
0;6;0;0
0;7;0;0
0;8;0;0
0;9;0;0
0;10;0;0
0;11;0;0
0;12;0;0
0;13;0;0
0;14;1;0
0;15;0;0
0;16;0;0
0;17;0;0
0;18;1;0
0;19;0;0
0;20;0;0
0;21;0;0
0;22;0;0
0;23;0;0
0;24;0;0
0;25;0;0
0;26;0;0
0;27;0;0
0;28;0;0
0;29;0;0
0;30;0;0
0;31;0;0
0;32;0;0
0;33;0;0
0;34;0;0
0;35;0;0
0;36;0;0
0;37;0;0
0;38;0;0
0;39;0;0
0;40;0;0
0;41;0;0
0;42;0;0
0;43;0;0
0;44;0;0
0;45;0;0
0;46;0;0
0;47;0;0
0;48;0;0
0;49;0;0
0;50;0;0
0;51;0;0
0;52;0;0
0;53;0;0
0;54;0;0
0;55;0;0
0;56;0;0
0;57;0;0
0;58;0;0
0;59;0;0
0;60;0;0
0;61;0;0
0;62;0;0
0;63;0;0
0;64;0;0
0;65;0;0
0;66;0;0
0;67;0;0
0;68;0;0
0;69;0;0
0;70;0;0
0;71;0;0
0;72;0;0
0;73;0;0
0;74;0;0
0;75;0;0
0;76;0;0
0;77;0;0
0;78;0;0
0;79;0;0
0;80;0;0
0;81;0;0
0;82;0;0
0;83;0;0
0;84;0;0
0;85;0;0
0;86;0;0
0;87;0;0
0;88;0;0
0;89;0;0
0;90;0;0
0;91;1;0
0;92;0;0
0;93;0;0
0;94;0;0
0;95;0;0
0;96;0;0
0;97;0;0
0;98;0;0
0;99;0;0
0;100;0;0
0;101;0;0
0;102;0;0
0;103;0;0
0;104;0;0
0;105;0;0
0;106;0;0
0;107;0;0
0;108;0;0
0;109;0;0
0;110;0;0
0;111;0;0
0;112;0;0
10;113;0;0
10;114;0;0
10;115;0;0
10;116;1;0
10;117;0;0
10;118;0;0
10;119;0;0
10;120;0;0
10;121;1;0
10;122;0;0
10;123;1;0
10;124;0;0
10;125;0;0
10;126;0;0
10;127;0;0
12;128;0;0,02
12;129;0;0,02
12;130;0;0,02
12;131;2;0,02
12;132;1;0,02
12;133;0;0,02
12;134;0;0,02
12;135;0;0,02
12;136;0;0,02
12;137;1;0,02
12;138;1;0,02
12;139;3;0,02
12;140;0;0,02
12;141;0;0,02
12;142;0;0,02
12;143;1;0,02
12;144;2;0,02
12;145;0;0,02
12;146;0;0,02
12;147;2;0,02
12;148;0;0,02
12;149;1;0,02
12;150;0;0,02
12;151;1;0,02
12;152;2;0,02
12;153;0;0,02
67;154;1;0,12
67;155;1;0,12
67;156;0;0,12
67;157;1;0,12
67;158;1;0,12
67;159;0;0,12
67;160;2;0,12
67;161;2;0,12
67;162;1;0,12
67;163;1;0,12
67;164;0;0,12
67;165;0;0,12
67;166;2;0,12
67;167;1;0,12
67;168;0;0,12
67;169;0;0,12
67;170;0;0,12
67;171;1;0,12
67;172;2;0,12
67;173;2;0,12
67;174;0;0,12
67;175;0;0,12
67;176;1;0,12
67;177;2;0,12
67;178;0;0,12
67;179;0;0,12
67;180;0;0,12
67;181;1;0,12
67;182;1;0,12
67;183;0;0,12
67;184;1;0,12
67;185;1;0,12
67;186;2;0,12
67;187;1;0,12
67;188;1;0,12
67;189;2;0,12
67;190;1;0,12
67;191;1;0,12
67;192;1;0,12
65;193;3;0,6
65;194;2;0,6
65;195;1;0,6
65;196;0;0,6
65;197;0;0,6
65;198;0;0,6
65;199;1;0,6
65;200;1;0,6
5;201;0;0,82
5;202;2;0,82
5;203;3;0,82
5;204;0;0,82
5;205;1;0,82
5;206;1;0,82
5;207;1;0,82
5;208;2;0,82
5;209;2;0,82
5;210;1;0,82
5;211;0;0,82
5;212;0;0,82
5;213;0;0,82
5;214;1;0,82
5;215;0;0,82
5;216;1;0,82
5;217;1;0,82
5;218;1;0,82
5;219;0;0,82
5;220;0;0,82
5;221;1;0,82
5;222;1;0,82
5;223;0;0,82
5;224;0;0,82
5;225;0;0,82
19;226;1;0,82
19;227;2;0,82
19;228;0;0,82
19;229;2;0,82
19;230;0;0,82
19;231;0;0,82
19;232;0;0,82
19;233;3;0,82
19;234;1;0,82
19;235;0;0,82
19;236;2;0,82
19;237;0;0,82
19;238;1;0,82
20;239;0;0,85
20;240;0;0,85
20;241;0;0,85
20;242;0;0,85
20;243;1;0,85
20;244;0;0,85
20;245;1;0,85
20;246;0;0,85
20;247;1;0,85
20;248;0;0,85
20;249;1;0,85
20;250;1;0,85
20;251;0;0,85
20;252;3;0,85
21;253;1;0,85
21;254;1;0,85
21;255;0;0,85
21;256;0;0,85
21;257;0;0,85
21;258;1;0,85
21;259;0;0,85
21;260;0;0,85
21;261;1;0,85
21;262;0;0,85
21;263;0;0,85
21;264;0;0,85
21;265;0;0,85
21;266;0;0,85
24;267;1;0,5
24;268;0;0,5
24;269;0;0,5
24;270;1;0,5
24;271;0;0,5
24;272;1;0,5
24;273;0;0,5
24;274;1;0,5
24;275;0;0,5
24;276;0;0,5
24;277;0;0,5
24;278;0;0,5
24;279;0;0,5
24;280;0;0,5
24;281;0;0,5
24;282;0;0,5
100;283;0;0,3
100;284;0;0,3
100;285;0;0,3
100;286;0;0,3
100;287;0;0,3
100;288;0;0,3
100;289;0;0,3
100;290;0;0,3
100;291;0;0,3
100;292;0;0,3
100;293;0;0,3
100;294;0;0,3
100;295;0;0,3
100;296;0;0,3
100;297;0;0,3
100;298;0;0,3
100;299;0;0,3
100;300;0;0,3
100;301;0;0,3
100;302;0;0,3
100;303;0;0,3
100;304;0;0,3
100;305;0;0,3
100;306;0;0,3
100;307;0;0,3
100;308;0;0,3
100;309;0;0,3
100;310;0;0,3
100;311;0;0,3
100;312;0;0,3
100;313;0;0,3
100;314;0;0,3
100;315;0;0,3
100;316;0;0,3
100;317;1;0,3
100;318;0;0,3
100;319;0;0,3
100;320;0;0,3
100;321;0;0,3
100;322;0;0,3
100;323;0;0,3
100;324;0;0,3
100;325;0;0,3
100;326;0;0,3
100;327;0;0,3
100;328;0;0,3
100;329;0;0,3
100;330;0;0,3
100;331;0;0,3
100;332;0;0,3
100;333;0;0,3
100;334;0;0,3
100;335;0;0,3
100;336;0;0,3
100;337;0;0,3
100;338;0;0,3
100;339;0;0,3
100;340;0;0,3
100;341;0;0,3
100;342;0;0,3
100;343;0;0,3
100;344;0;0,3
100;345;0;0,3
100;346;0;0,3
100;347;0;0,3
100;348;0;0,3
100;349;0;0,3
100;350;0;0,3
100;351;0;0,3
100;352;0;0,3
100;353;0;0,3
100;354;0;0,3
100;355;0;0,3
100;356;0;0,3
100;357;0;0,3
100;358;0;0,3
100;359;0;0,3
100;360;0;0,3
100;361;0;0,3
100;362;0;0,3
100;363;0;0,3
100;364;0;0,3
100;365;0;0,3
